Congress,S.Amdt.No,Amends,Sponsor,Latest Action,url,Latest Action Date,Sponsor Party,Outcome,Action Type
118th Congress (2023-2024),S.Amdt.13,S.316,"Scott, Rick [Sen.-R-FL]","Amendment SA 13 under the order of 3/23/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 33 - 62. Record Vote Number: 75. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/13?r=36&s=1&r=56,03/28/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.40,S.316,"Hawley, Josh [Sen.-R-MO]","Amendment SA 40 under the order of 3/23/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 26 - 68. Record Vote Number: 76. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/40?r=36&s=1&r=57,03/28/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.33,S.316,"Sullivan, Dan [Sen.-R-AK]","Amendment SA 33 under the order of 3/23/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 38 - 57. Record Vote Number: 74. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/33?r=36&s=1&r=58,03/28/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.30,S.316,"Ricketts, Pete [Sen.-R-NE]","Amendment SA 30 under the order of 3/23/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 31 - 65. Record Vote Number: 72. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/30?r=36&s=1&r=59,03/28/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.4,S.316,"Rubio, Marco [Sen.-R-FL]","Amendment SA 4 under the order of 3/23/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 32 - 63. Record Vote Number: 68. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/4?r=36&s=1&r=60,03/23/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.43,S.316,"Risch, James E. [Sen.-R-ID]",Amendment SA 43 not agreed to in Senate by Yea-Nay Vote. 41 - 52. Record Vote Number: 69. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/43?r=36&s=1&r=61,03/23/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.22,S.316,"Lee, Mike [Sen.-R-UT]","Amendment SA 22 under the order of 3/22/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 19 - 76. Record Vote Number: 67. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/22?r=36&s=1&r=62,03/23/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.14,S.316,"Graham, Lindsey [Sen.-R-SC]",Amendment SA 14 not agreed to in Senate by Yea-Nay Vote. 36 - 60. Record Vote Number: 66. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/14?r=36&s=1&r=63,03/22/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.2,S.316,"Paul, Rand [Sen.-R-KY]","Amendment SA 2 under the order of 3/22/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 9 - 86. Record Vote Number: 65. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/2?r=36&s=1&r=64,03/22/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.3300,S.Res.805,"Shaheen, Jeanne [Sen.-D-NH]",Amendment SA 3300 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3300?r=36&s=1&r=65,09/25/24,D,A,UC
118th Congress (2023-2024),S.Amdt.3301,S.Res.805,"Shaheen, Jeanne [Sen.-D-NH]",Amendment SA 3301 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3301?r=36&s=1&r=66,09/25/24,D,A,UC
118th Congress (2023-2024),S.Amdt.3299,S.91,"Hagerty, Bill [Sen.-R-TN]","Amendment SA 3299, not withstanding passage of the bill S.91, agreed to in Senate by Unanimous Consent. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/3299?r=36&s=1&r=67,09/25/24,R,A,UC
118th Congress (2023-2024),S.Amdt.3294,H.R.5009,"Carper, Thomas R. [Sen.-D-DE]",Amendment SA 3294 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3294?r=36&s=1&r=68,09/24/24,D,A,UC
118th Congress (2023-2024),S.Amdt.3295,S.91,"Hagerty, Bill [Sen.-R-TN]",Amendment SA 3295 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3295?r=36&s=1&r=69,09/24/24,R,A,UC
118th Congress (2023-2024),S.Amdt.3296,S.815,"Tester, Jon [Sen.-D-MT]",Amendment SA 3296 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3296?r=36&s=1&r=70,09/24/24,D,A,UC
118th Congress (2023-2024),S.Amdt.3297,H.R.6513,"McConnell, Mitch [Sen.-R-KY]",Amendment SA 3297 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3297?r=36&s=1&r=71,09/24/24,R,A,UC
118th Congress (2023-2024),S.Amdt.3292,S.4698,"Peters, Gary C. [Sen.-D-MI]","Senate vitiated previous adoption of amendement SA 3292, not withstanding passage of S. 4698, under the order of 9/23/24. (CR S6326) (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/3292?r=36&s=1&r=72,09/23/24,D,A,INPUT BY HAND
118th Congress (2023-2024),S.Amdt.3293,S.4698,"Peters, Gary C. [Sen.-D-MI]",Amendment SA 3293 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3293?r=36&s=1&r=73,09/23/24,D,A,UC
118th Congress (2023-2024),S.Amdt.3291,S.288,"Cardin, Benjamin L. [Sen.-D-MD]",Amendment SA 3291 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3291?r=36&s=1&r=74,09/19/24,D,A,UC
118th Congress (2023-2024),S.Amdt.3288,S.1871,"Peters, Gary C. [Sen.-D-MI]",Amendment SA 3288 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3288?r=36&s=1&r=75,09/18/24,D,A,UC
118th Congress (2023-2024),S.Amdt.3224,S.4367,"Carper, Thomas R. [Sen.-D-DE]",Amendment SA 3224 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3224?r=36&s=1&r=76,08/01/24,D,A,UC
118th Congress (2023-2024),S.Amdt.3215,S.2781,"Heinrich, Martin [Sen.-D-NM]",Amendment SA 3215 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3215?r=36&s=1&r=77,07/31/24,D,A,UC
118th Congress (2023-2024),S.Amdt.3201,S.133,"Collins, Susan M. [Sen.-R-ME]",Amendment SA 3201 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3201?r=36&s=1&r=78,07/30/24,R,A,UC
118th Congress (2023-2024),S.Amdt.3021,S.2073,"Schumer, Charles E. [Sen.-D-NY]",Amendment SA 3021 agreed to in Senate by Yea-Nay Vote. 91 - 3. Record Vote Number: 221. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3021?r=36&s=1&r=79,07/30/24,D,A,RCV
118th Congress (2023-2024),S.Amdt.3049,S.3696,"Durbin, Richard J. [Sen.-D-IL]",Amendment SA 3049 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/3049?r=36&s=1&r=80,07/23/24,D,A,UC
118th Congress (2023-2024),S.Amdt.2399,S.150,"Cornyn, John [Sen.-R-TX]",Amendment SA 2399 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/2399?r=36&s=1&r=81,07/11/24,R,A,UC
118th Congress (2023-2024),S.Amdt.2248,S.412,"Klobuchar, Amy [Sen.-D-MN]",Amendment SA 2248 agreed to in Senate by Unanimous Consent. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/2248?r=36&s=1&r=82,07/10/24,D,A,UC
