,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
136,Senate,04/19/2024,11:00AM,01:29AM,-571.0,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/4/19/daily-digest
137,House,04/19/2024,09:00AM,12:19PM,199.0,x,Adjournment: The House met at 9 a.m. and adjourned at 12:19 p.m.,https://www.congress.gov/congressional-record/2024/4/19/daily-digest
138,Senate,04/20/2024,09:00AM,15:30PM,390.0,x,Adjournment: Senate convened at 9 a.m. and adjourned at 3:30 p.m. until 10 a.m. on Tuesday April 23 2024. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/4/20/daily-digest
139,House,04/20/2024,,1900-01-01 14:10:00,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/4/20/daily-digest
140,Senate,04/23/2024,10:00AM,21:44PM,704.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 9:44 p.m. until 10 a.m. on Friday April 26 2024. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/4/23/daily-digest
141,House,04/23/2024,10:30AM,10:36AM,6.0,pf,Adjournment: The House met at 10:30 a.m. and adjourned at 10:36 a.m.   ,https://www.congress.gov/congressional-record/2024/4/23/daily-digest
142,Senate,04/26/2024,,,,pf,The Senate met at 10:00:01 a.m. in pro forma session and adjourned at 10:00:43 a.m. until 3 p.m. on Tuesday April 30 2024.No committee meetings were held.,https://www.congress.gov/congressional-record/2024/4/26/daily-digest
143,House,04/26/2024,09:30AM,09:37AM,7.0,pf,Adjournment: The House met at 9:30 a.m. and adjourned at 9:37 a.m.  ,https://www.congress.gov/congressional-record/2024/4/26/daily-digest
144,Senate,04/29/2024,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Tuesday April 30 2024.No committee meetings were held.,https://www.congress.gov/congressional-record/2024/4/29/daily-digest
145,House,04/29/2024,12:00PM,20:21PM,501.0,x,Adjournment: The House met at 12 p.m. and adjourned at 8:21 p.m. pursuant to ,https://www.congress.gov/congressional-record/2024/4/29/daily-digest
146,Senate,04/30/2024,15:00PM,18:48PM,228.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:48 p.m. until 10 a.m. on Wednesday May 1 2024. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/4/30/daily-digest
147,House,04/30/2024,10:00AM,19:56PM,596.0,x,Adjournment: The House met at 10 a.m. and adjourned at 7:56 p.m. ,https://www.congress.gov/congressional-record/2024/4/30/daily-digest
