,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
90,Senate,03/15/2023,,,,NS,The House was not in session today. The House will meet at 11 a.m. on Friday March 17 2023.,https://www.congress.gov/congressional-record/2023/3/15/daily-digest
91,House,03/15/2023,,,,NS,The House was not in session today. The House will meet at 11 a.m. on Friday March 17 2023.No hearings were held.,https://www.congress.gov/congressional-record/2023/3/15/daily-digest
92,Senate,03/16/2023,10:00AM,15:34PM,334.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 3:34 p.m. until 8:45 a.m. on Friday March 17 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/3/16/daily-digest
93,House,03/16/2023,,,,NS,The House was not in session today. The House will meet at 11 a.m. on Friday March 17 2023.No hearings were held.,https://www.congress.gov/congressional-record/2023/3/16/daily-digest
94,Senate,03/17/2023,,,,pf,The Senate met at 8:45:12 a.m. in pro forma session and adjourned at 8:45:40 a.m. until 3 p.m. on Tuesday March 21 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/3/17/daily-digest
95,House,03/17/2023,09:00AM,09:03AM,3.0,pf,Adjournment: The House met at 9 a.m. and adjourned at 9:03 a.m. ,https://www.congress.gov/congressional-record/2023/3/17/daily-digest
96,Senate,03/21/2023,15:02PM,19:25PM,263.0,x,Adjournment: Senate convened at 3:02 p.m. and adjourned at 7:25 p.m. until 11 a.m. on Wednesday March 22 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/3/21/daily-digest
97,House,03/21/2023,17:00PM,17:15PM,15.0,pf,Adjournment: The House met at 5 p.m. and adjourned at 5:15 p.m.   ,https://www.congress.gov/congressional-record/2023/3/21/daily-digest
98,Senate,03/22/2023,11:00AM,19:35PM,515.0,x,Adjournment: Senate convened at 11 a.m. and adjourned at 7:35 p.m. until 10 a.m. on Thursday March 23 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/3/22/daily-digest
99,House,03/22/2023,12:00PM,20:13PM,493.0,x,Adjournment: The House met at 12 p.m. and adjourned at 8:13 p.m.   ,https://www.congress.gov/congressional-record/2023/3/22/daily-digest
100,Senate,03/23/2023,10:00AM,15:11PM,311.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 3:11 p.m. until 3 p.m. on Monday March 27 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/3/23/daily-digest
101,House,03/23/2023,10:00AM,21:15PM,675.0,x,Adjournment: The House met at 10 a.m. and adjourned at 9:15 p.m.   ,https://www.congress.gov/congressional-record/2023/3/23/daily-digest
102,Senate,03/24/2023,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday March 27 2023.––––––No committee meetings were held.,https://www.congress.gov/congressional-record/2023/3/24/daily-digest
103,House,03/24/2023,09:00AM,12:49PM,229.0,x,Adjournment: The House met at 9 a.m. and adjourned at 12:49 p.m.   ,https://www.congress.gov/congressional-record/2023/3/24/daily-digest
104,Senate,03/27/2023,15:00PM,19:35PM,275.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 7:35 p.m. until 10 a.m. on Tuesday March 28 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/3/27/daily-digest
105,House,03/27/2023,12:00PM,20:32PM,512.0,x,Adjournment: The House met at 12 p.m. and adjourned at 8:32 p.m. ,https://www.congress.gov/congressional-record/2023/3/27/daily-digest
106,Senate,03/28/2023,10:00AM,19:20PM,560.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:20 p.m. until 10 a.m. on Wednesday March 29 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/3/28/daily-digest
107,House,03/28/2023,10:00AM,19:24PM,564.0,x,Adjournment: The House met at 10 a.m. and adjourned at 7:24 p.m.,https://www.congress.gov/congressional-record/2023/3/28/daily-digest
