House or Senate,Date,Time Convened,Time Adjourned,Time in Session (minutes),"Working Day? (x = working day, pf = pro forma, NS = not in session)",Scraped adjournment string,url,Time in Session,Working Day?
Senate,2/16/22,10:00AM,18:20PM,500,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:20 p.m. until 10:30 a.m. on Thursday February 17 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/16/daily-digest,,
House,2/16/22,,,,NS,The House was not in session today. The House is scheduled to meet at 10 a.m. on Friday February 18 2022.Full Committee held a hearing entitled ``Why Congress Needs to Abolish the Debt Limit. Testimony was heard from public witnesses.  ,https://www.congress.gov/congressional-record/2022/2/16/daily-digest,,
Senate,2/17/22,10:30AM,20:17PM,587,x,Adjournment: Senate convened at 10:30 a.m. and adjourned at 8:17 p.m. until 9 a.m. on Friday February 18 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/17/daily-digest,,
House,2/17/22,,,,NS,The House was not in session today. The House is scheduled to meet at 10 a.m. on Friday February 18 2022. Subcommittee on Health Employment Labor and Pensions held a hearing entitled ``Exploring Pathways to Affordable Universal Health Coverage. Testimony was heard from public witnesses. ,https://www.congress.gov/congressional-record/2022/2/17/daily-digest,,
Senate,2/18/22,,,,pf,The Senate met at 9:00:10 a.m. in pro forma session and adjourned at 9:00:43 a.m. until 3 p.m. on Tuesday February 22 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/2/18/daily-digest,,
House,2/18/22,10:00AM,10:05AM,5,pf,Adjournment: The House met at 10 a.m. and adjourned at 10:05 a.m. ,https://www.congress.gov/congressional-record/2022/2/18/daily-digest,,
Senate,2/22/22,,,,pf,The Senate met at 3 p.m. in pro forma session and adjourned at 3:00:35 p.m. until 2 p.m. on Friday February 25 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/2/22/daily-digest,,
House,2/22/22,12:30PM,12:32PM,2,pf,Adjournment: The House met at 12:30 p.m. and adjourned at 12:32 p.m.  ,https://www.congress.gov/congressional-record/2022/2/22/daily-digest,,
Senate,2/25/22,,,,pf,The Senate met at 2:03:20 p.m. in pro forma session and adjourned at 2:04:01 p.m. until 3 p.m. on Monday February 28 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/2/25/daily-digest,,
House,2/25/22,12:30PM,12:34PM,4,pf,Adjournment: The House met at 12:30 p.m. and adjourned at 12:34 p.m. ,https://www.congress.gov/congressional-record/2022/2/25/daily-digest,,
Senate,2/28/22,15:00PM,21:48PM,408,x,Adjournment: Senate convened at 3 p.m. and adjourned at 9:48 p.m. until 10:15 a.m. on Tuesday March 1 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/28/daily-digest,,
House,2/28/22,14:00PM,19:54PM,354,x,Adjournment: The House met at 2 p.m. and adjourned at 7:54 p.m. pursuant to ,https://www.congress.gov/congressional-record/2022/2/28/daily-digest,,
Senate,3/1/22,10:15AM,22:27PM,732,x,Adjournment: Senate convened at 10:15 a.m. and adjourned at 10:27 p.m. until 11 a.m. on Wednesday March 2 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/1/daily-digest,,
House,3/1/22,10:00AM,22:28PM,748,x,Adjournment: The House met at 10 a.m. and adjourned at 10:28 p.m.   ,https://www.congress.gov/congressional-record/2022/3/1/daily-digest,,
Senate,3/2/22,11:00AM,19:10PM,490,x,Adjournment: Senate convened at 11 a.m. and adjourned at 7:10 p.m. until 10 a.m. on Thursday March 3 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/2/daily-digest,,
House,3/2/22,10:00AM,19:42PM,582,x,Adjournment: The House met at 10 a.m. and adjourned at 7:42 p.m.  ,https://www.congress.gov/congressional-record/2022/3/2/daily-digest,,
Senate,3/3/22,10:00AM,15:43PM,343,x,Adjournment: Senate convened at 10 a.m. and adjourned at 3:43 p.m. until 3 p.m. on Monday March 7 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/3/daily-digest,,
House,3/3/22,09:00AM,13:39PM,279,x,Adjournment: The House met at 9 a.m. and adjourned at 1:39 p.m.   ,https://www.congress.gov/congressional-record/2022/3/3/daily-digest,,
Senate,3/7/22,15:00,19:03,4:03,x,,https://www.congress.gov/congressional-record/2022/3/7/daily-digest,,
House,3/7/22,12:00PM,20:48PM,528,x,Adjournment: The House met at 12 p.m. and adjourned at 8:48 p.m. ,https://www.congress.gov/congressional-record/2022/3/7/daily-digest,,
Senate,3/8/22,10:30,19:12,8:42,x,,https://www.congress.gov/congressional-record/2022/3/8/daily-digest,,
House,3/8/22,10:00 AM,12:30 AM,14:30,x,,https://www.congress.gov/congressional-record/2022/3/8/daily-digest,,
Senate,3/9/22,,,,NS,.Adjournment: The House met at 9 a.m. and adjourned at 11:30 p.m.,https://www.congress.gov/congressional-record/2022/3/9/daily-digest,,
House,3/9/22,09:00AM,23:30PM,870,x,.Adjournment: The House met at 9 a.m. and adjourned at 11:30 p.m.,https://www.congress.gov/congressional-record/2022/3/9/daily-digest,,
Senate,3/10/22,10:00AM,22:27PM,747,x,Adjournment: Senate convened at 10 a.m. and adjourned at 10:27 p.m. until 3 p.m. on Monday March 14 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/10/daily-digest,,
House,3/10/22,,,,NS,The House was not in session today. The House is scheduled to meet at 10 a.m. on Friday March 11 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/3/10/daily-digest,,
Senate,3/11/22,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday March 14 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/3/11/daily-digest,,
House,3/11/22,10:00AM,10:03AM,3,pf,Adjournment: The House met at 10 a.m. and adjourned at 10:03 a.m.  ,https://www.congress.gov/congressional-record/2022/3/11/daily-digest,,
Senate,3/14/22,15:00PM,19:32PM,272,x,Adjournment: Senate convened at 3 p.m. and adjourned at 7:32 p.m. until 10 a.m. on Tuesday March 15 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/14/daily-digest,,
House,3/14/22,,,,NS,The House was not in session today. The House is scheduled to meet at 12 p.m. on Tuesday March 15 2022.No hearings were held. ,https://www.congress.gov/congressional-record/2022/3/14/daily-digest,,
Senate,3/15/22,10:00AM,19:54PM,594,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:54 p.m. until 10:30 a.m. on Wednesday March 16 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/15/daily-digest,,
House,3/15/22,12:00PM,20:16PM,496,x,Adjournment:  The House met at 12 p.m. and adjourned at 8:16 p.m.   ,https://www.congress.gov/congressional-record/2022/3/15/daily-digest,,
Senate,3/16/22,10:30AM,21:29PM,659,x,Adjournment: Senate convened at 10:30 a.m. and adjourned at 9:29 p.m. until 10 a.m. on Thursday March 17 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/16/daily-digest,,
House,3/16/22,10:00AM,18:52PM,532,x,Adjournment: The House met at 10 a.m. and adjourned at 6:52 p.m. ,https://www.congress.gov/congressional-record/2022/3/16/daily-digest,,
Senate,3/17/22,10:00AM,16:07PM,367,x,Adjournment: Senate convened at 10 a.m. and adjourned at 4:07 p.m. until 3 p.m. on Monday March 21 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on page ,https://www.congress.gov/congressional-record/2022/3/17/daily-digest,,
House,3/17/22,10:00AM,18:46PM,526,x,Adjournment: The House met at 10 a.m. and adjourned at 6:46 p.m.   ,https://www.congress.gov/congressional-record/2022/3/17/daily-digest,,
Senate,3/18/22,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday March 21 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/3/18/daily-digest,,
House,3/18/22,09:00AM,12:17PM,197,x,Adjournment: The House met at 9 a.m. and adjourned at 12:17 p.m. ,https://www.congress.gov/congressional-record/2022/3/18/daily-digest,,
Senate,3/21/22,15:03PM,18:58PM,235,x,Adjournment: Senate convened at 3:03 p.m. and adjourned at 6:58 p.m. until 10 a.m. on Tuesday March 22 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/21/daily-digest,,
House,3/21/22,13:00PM,13:24PM,24,pf,Adjournment: The House met at 1 p.m. and adjourned at 1:24 p.m.  ,https://www.congress.gov/congressional-record/2022/3/21/daily-digest,,
Senate,3/22/22,10:00AM,18:59PM,539,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:59 p.m. until 10 a.m. on Wednesday March 23 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/22/daily-digest,,
House,3/22/22,,,,NS,The House was not in session today. The House is scheduled to meet at 1 p.m. on Thursday March 24 2022No hearings were held.,https://www.congress.gov/congressional-record/2022/3/22/daily-digest,,
